month,search_term,google_trends_interest,event_name,event_type,is_event_month
2021-07-01,rhode_phone_case,0,none,none,0
2021-08-01,rhode_phone_case,1,none,none,0
2021-09-01,rhode_phone_case,0,none,none,0
2021-10-01,rhode_phone_case,0,none,none,0
2021-11-01,rhode_phone_case,0,none,none,0
2021-12-01,rhode_phone_case,1,none,none,0
2022-01-01,rhode_phone_case,1,none,none,0
2022-02-01,rhode_phone_case,2,none,none,0
2022-03-01,rhode_phone_case,2,none,none,0
2022-04-01,rhode_phone_case,4,none,none,0
2022-05-01,rhode_phone_case,4,none,none,0
2022-06-01,rhode_phone_case,35,none,none,0
2022-07-01,rhode_phone_case,11,none,none,0
2022-08-01,rhode_phone_case,7,none,none,0
2022-09-01,rhode_phone_case,7,none,none,0
2022-10-01,rhode_phone_case,5,none,none,0
2022-11-01,rhode_phone_case,7,none,none,0
2022-12-01,rhode_phone_case,5,none,none,0
2023-01-01,rhode_phone_case,5,none,none,0
2023-02-01,rhode_phone_case,5,none,none,0
2023-03-01,rhode_phone_case,4,none,none,0
2023-04-01,rhode_phone_case,2,none,none,0
2023-05-01,rhode_phone_case,2,none,none,0
2023-06-01,rhode_phone_case,2,none,none,0
2023-07-01,rhode_phone_case,2,none,none,0
2023-08-01,rhode_phone_case,3,none,none,0
2023-09-01,rhode_phone_case,2,none,none,0
2023-10-01,rhode_phone_case,3,none,none,0
2023-11-01,rhode_phone_case,3,none,none,0
2023-12-01,rhode_phone_case,3,none,none,0
2024-01-01,rhode_phone_case,3,none,none,0
2024-02-01,rhode_phone_case,3,Rhode Lip Case launches,viral_product_launch,1
2024-03-01,rhode_phone_case,2,none,none,0
2024-04-01,rhode_phone_case,1,none,none,0
2024-05-01,rhode_phone_case,2,none,none,0
2024-06-01,rhode_phone_case,2,none,none,0
2024-07-01,rhode_phone_case,1,none,none,0
2024-08-01,rhode_phone_case,1,none,none,0
2024-09-01,rhode_phone_case,1,none,none,0
2024-10-01,rhode_phone_case,2,none,none,0
2024-11-01,rhode_phone_case,3,none,none,0
2024-12-01,rhode_phone_case,4,none,none,0
2025-01-01,rhode_phone_case,3,none,none,0
2025-02-01,rhode_phone_case,2,none,none,0
2025-03-01,rhode_phone_case,2,none,none,0
2025-04-01,rhode_phone_case,2,none,none,0
2025-05-01,rhode_phone_case,3,none,none,0
2025-06-01,rhode_phone_case,2,none,none,0
2025-07-01,rhode_phone_case,3,none,none,0
2025-08-01,rhode_phone_case,2,none,none,0
2025-09-01,rhode_phone_case,2,none,none,0
2025-10-01,rhode_phone_case,1,none,none,0
2025-11-01,rhode_phone_case,2,none,none,0
2025-12-01,rhode_phone_case,2,none,none,0
2026-01-01,rhode_phone_case,2,none,none,0
2026-02-01,rhode_phone_case,2,none,none,0
2026-03-01,rhode_phone_case,3,none,none,0
2026-04-01,rhode_phone_case,4,none,none,0
2026-05-01,rhode_phone_case,2,none,none,0
2021-05-01,glazed_donut_skin,0,none,none,0
2021-06-01,glazed_donut_skin,0,none,none,0
2021-07-01,glazed_donut_skin,0,none,none,0
2021-08-01,glazed_donut_skin,0,none,none,0
2021-09-01,glazed_donut_skin,0,none,none,0
2021-10-01,glazed_donut_skin,0,none,none,0
2021-11-01,glazed_donut_skin,0,none,none,0
2021-12-01,glazed_donut_skin,0,none,none,0
2022-01-01,glazed_donut_skin,0,Glazed donut skin identified as major Hailey Bieber beauty trend,viral_beauty_trend,1
2022-02-01,glazed_donut_skin,0,none,none,0
2022-03-01,glazed_donut_skin,0,none,none,0
2022-04-01,glazed_donut_skin,0,none,none,0
2022-05-01,glazed_donut_skin,0,none,none,0
2022-06-01,glazed_donut_skin,0,none,none,0
2022-07-01,glazed_donut_skin,0,none,none,0
2022-08-01,glazed_donut_skin,0,none,none,0
2022-09-01,glazed_donut_skin,0,none,none,0
2022-10-01,glazed_donut_skin,0,none,none,0
2022-11-01,glazed_donut_skin,0,none,none,0
2022-12-01,glazed_donut_skin,0,none,none,0
2023-01-01,glazed_donut_skin,0,none,none,0
2023-02-01,glazed_donut_skin,0,none,none,0
2023-03-01,glazed_donut_skin,0,none,none,0
2023-04-01,glazed_donut_skin,0,none,none,0
2023-05-01,glazed_donut_skin,0,none,none,0
2023-06-01,glazed_donut_skin,0,none,none,0
2023-07-01,glazed_donut_skin,0,none,none,0
2023-08-01,glazed_donut_skin,0,none,none,0
2023-09-01,glazed_donut_skin,0,none,none,0
2023-10-01,glazed_donut_skin,0,none,none,0
2023-11-01,glazed_donut_skin,0,none,none,0
2023-12-01,glazed_donut_skin,0,none,none,0
2024-01-01,glazed_donut_skin,0,none,none,0
2024-02-01,glazed_donut_skin,1,none,none,0
2024-03-01,glazed_donut_skin,1,none,none,0
2024-04-01,glazed_donut_skin,0,none,none,0
2024-05-01,glazed_donut_skin,0,none,none,0
2024-06-01,glazed_donut_skin,0,none,none,0
2024-07-01,glazed_donut_skin,0,none,none,0
2024-08-01,glazed_donut_skin,1,none,none,0
2024-09-01,glazed_donut_skin,0,none,none,0
2024-10-01,glazed_donut_skin,0,none,none,0
2024-11-01,glazed_donut_skin,2,none,none,0
2024-12-01,glazed_donut_skin,2,none,none,0
2025-01-01,glazed_donut_skin,1,none,none,0
2025-02-01,glazed_donut_skin,1,none,none,0
2025-03-01,glazed_donut_skin,1,none,none,0
2025-04-01,glazed_donut_skin,0,none,none,0
2025-05-01,glazed_donut_skin,1,none,none,0
2025-06-01,glazed_donut_skin,1,none,none,0
2025-07-01,glazed_donut_skin,1,none,none,0
2025-08-01,glazed_donut_skin,1,none,none,0
2025-09-01,glazed_donut_skin,2,none,none,0
2025-10-01,glazed_donut_skin,1,none,none,0
2025-11-01,glazed_donut_skin,2,none,none,0
2025-12-01,glazed_donut_skin,2,none,none,0
2026-01-01,glazed_donut_skin,1,none,none,0
2026-02-01,glazed_donut_skin,1,none,none,0
2026-03-01,glazed_donut_skin,1,none,none,0
2026-04-01,glazed_donut_skin,1,none,none,0
2026-05-01,glazed_donut_skin,1,none,none,0
2021-05-01,hailey_bieber_skincare,0,none,none,0
2021-06-01,hailey_bieber_skincare,0,none,none,0
2021-07-01,hailey_bieber_skincare,0,none,none,0
2021-08-01,hailey_bieber_skincare,0,none,none,0
2021-09-01,hailey_bieber_skincare,0,none,none,0
2021-10-01,hailey_bieber_skincare,0,none,none,0
2021-11-01,hailey_bieber_skincare,0,none,none,0
2021-12-01,hailey_bieber_skincare,0,none,none,0
2022-01-01,hailey_bieber_skincare,0,none,none,0
2022-02-01,hailey_bieber_skincare,0,none,none,0
2022-03-01,hailey_bieber_skincare,1,none,none,0
2022-04-01,hailey_bieber_skincare,0,none,none,0
2022-05-01,hailey_bieber_skincare,0,none,none,0
2022-06-01,hailey_bieber_skincare,1,none,none,0
2022-07-01,hailey_bieber_skincare,1,none,none,0
2022-08-01,hailey_bieber_skincare,1,none,none,0
2022-09-01,hailey_bieber_skincare,1,none,none,0
2022-10-01,hailey_bieber_skincare,1,none,none,0
2022-11-01,hailey_bieber_skincare,1,none,none,0
2022-12-01,hailey_bieber_skincare,1,none,none,0
2023-01-01,hailey_bieber_skincare,1,none,none,0
2023-02-01,hailey_bieber_skincare,1,none,none,0
2023-03-01,hailey_bieber_skincare,1,none,none,0
2023-04-01,hailey_bieber_skincare,1,none,none,0
2023-05-01,hailey_bieber_skincare,0,none,none,0
2023-06-01,hailey_bieber_skincare,1,none,none,0
2023-07-01,hailey_bieber_skincare,1,none,none,0
2023-08-01,hailey_bieber_skincare,1,none,none,0
2023-09-01,hailey_bieber_skincare,1,none,none,0
2023-10-01,hailey_bieber_skincare,1,none,none,0
2023-11-01,hailey_bieber_skincare,1,none,none,0
2023-12-01,hailey_bieber_skincare,1,none,none,0
2024-01-01,hailey_bieber_skincare,0,none,none,0
2024-02-01,hailey_bieber_skincare,0,none,none,0
2024-03-01,hailey_bieber_skincare,1,none,none,0
2024-04-01,hailey_bieber_skincare,1,none,none,0
2024-05-01,hailey_bieber_skincare,0,none,none,0
2024-06-01,hailey_bieber_skincare,0,Rhode Pocket Blush launches,color_cosmetics_launch,1
2024-07-01,hailey_bieber_skincare,1,none,none,0
2024-08-01,hailey_bieber_skincare,0,none,none,0
2024-09-01,hailey_bieber_skincare,0,none,none,0
2024-10-01,hailey_bieber_skincare,0,none,none,0
2024-11-01,hailey_bieber_skincare,0,none,none,0
2024-12-01,hailey_bieber_skincare,1,none,none,0
2025-01-01,hailey_bieber_skincare,1,none,none,0
2025-02-01,hailey_bieber_skincare,0,none,none,0
2025-03-01,hailey_bieber_skincare,1,none,none,0
2025-04-01,hailey_bieber_skincare,0,none,none,0
2025-05-01,hailey_bieber_skincare,1,none,none,0
2025-06-01,hailey_bieber_skincare,0,none,none,0
2025-07-01,hailey_bieber_skincare,1,none,none,0
2025-08-01,hailey_bieber_skincare,1,none,none,0
2025-09-01,hailey_bieber_skincare,0,Rhode launches at Sephora U.S. and Canada,retail_expansion,1
2025-10-01,hailey_bieber_skincare,1,none,none,0
2025-11-01,hailey_bieber_skincare,0,none,none,0
2025-12-01,hailey_bieber_skincare,1,none,none,0
2026-01-01,hailey_bieber_skincare,0,none,none,0
2026-02-01,hailey_bieber_skincare,1,none,none,0
2026-03-01,hailey_bieber_skincare,1,none,none,0
2026-04-01,hailey_bieber_skincare,3,none,none,0
2026-05-01,hailey_bieber_skincare,1,none,none,0
